Namn:;Kolumn1;Muskelgrupp: ;Equipment:;Target:;Variant;Synergist:;Stabilizers:;Utility:;Mechanics:;Force:;Beskrivning:;LINK:
Behind Neck Press;;Shoulder;Barbell;Anterior Deltoid;1;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/BBBehindNeckPress
Front Raise;;Shoulder;Barbell;Anterior Deltoid;1;;;Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/BBFrontRaise
Incline Front Raise ;;Shoulder;Barbell;Anterior Deltoid;1;;;Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/BBInclineFrontRaise
Military Press;;Shoulder;Barbell;Anterior Deltoid;1;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/BBMilitaryPress
Seated Military Press;;Shoulder;Barbell;Anterior Deltoid;1;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/BBSeatedMilitaryPress
Shoulder Press;;Shoulder;Barbell;Anterior Deltoid;1;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/BBShoulderPress
Reclined Shoulder Press;;Shoulder;Barbell;Anterior Deltoid;1;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/BBReclinedShoulderPress
Behind Neck Press;;Shoulder;Cable;Anterior Deltoid;2;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/CBBarBehindNeckPress
Front Raise;;Shoulder;Cable;Anterior Deltoid;2;;;Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/CBBarFrontRaise
Military Press;;Shoulder;Cable;Anterior Deltoid;2;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/CBBarMilitaryPress
Shoulder Press;;Shoulder;Cable;Anterior Deltoid;2;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/CBBarShoulderPress
Arnold Press;;Shoulder;Dumbbell;Anterior Deltoid;1;;;Basic, Auxiliary;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/DBArnoldPress
Front Raise;;Shoulder;Dumbbell;Anterior Deltoid;3;;;Auxiliary;Isolated;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/DBFrontRaise
Shoulder Press;;Shoulder;Dumbbell;Anterior Deltoid;3;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/DBShoulderPress
Behind Neck Press;;Shoulder;Machine;Anterior Deltoid;3;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/LVBehindNeckPressH
Military Press;;Shoulder;Machine;Anterior Deltoid;3;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/LVMilitaryPressH
Reclined Shoulder Press;;Shoulder;Machine;Anterior Deltoid;2;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/LVReclinedShoulderPressPL
Shoulder Press;;Shoulder;Machine;Anterior Deltoid;3;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/LVShoulderPressH
Behind Neck Press;;Shoulder;Smith;Anterior Deltoid;4;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/SMBehindNeckPress
Shoulder Press;;Shoulder;Smith;Anterior Deltoid;4;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/SMShoulderPress
Handstand Push-up;;Shoulder;Body Weight;Anterior Deltoid;1;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/BWHandstandPressBench
Pike Press;;Shoulder;Body Weight;Anterior Deltoid;1;;;Basic;Compound;Push;;https://exrx.net/WeightExercises/DeltoidAnterior/BWPikePress
Upright Row;;Shoulder;Barbell;Lateral Deltoid;1;;;Basic;Compound;Pull;;https://exrx.net/WeightExercises/DeltoidLateral/BBUprightRow
Lateral Raise;;Shoulder;Cable;Lateral Deltoid;1;;;Basic, Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/DeltoidLateral/CBLateralRaise
Upright Row;;Shoulder;Cable;Lateral Deltoid;2;;;Basic;Compound;Pull;;https://exrx.net/WeightExercises/DeltoidLateral/CBUprightRow
Y Raise;;Shoulder;Cable;Lateral Deltoid;1;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/DeltoidLateral/CBYRaise
Lateral Raise;;Shoulder;Dumbbell;Lateral Deltoid;2;;;Basic, Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/DeltoidLateral/DBLateralRaise
Incline Y Raise;;Shoulder;Dumbbell;Lateral Deltoid;2;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/DeltoidLateral/DBInclineYRaise
Upright Row;;Shoulder;Dumbbell;Lateral Deltoid;3;;;Basic;Compound;Pull;;https://exrx.net/WeightExercises/DeltoidLateral/DBUprightRow
Lateral Raise;;Shoulder;Machine;Lateral Deltoid;3;;;Basic, Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/DeltoidLateral/DBUprightRow
Upright Row;;Shoulder;Smith;Lateral Deltoid;4;;;Basic;Compound;Pull;;https://exrx.net/WeightExercises/DeltoidLateral/SMUprightRow
Rear Delt Row;;Shoulder;Barbell;Posterior Deltoid;1;;;Basic, Auxiliary;Compound;Pull;;https://exrx.net/WeightExercises/DeltoidPosterior/BBLyingRearDeltRow
Reverse Cable Fly;;Shoulder;Cable;Posterior Deltoid;1;;;Auxiliary;Isolated;Pull;;https://exrx.net/WeightExercises/DeltoidPosterior/CBStandingReverseFly
Standing Cable Cross Row;;Shoulder;Cable;Posterior Deltoid;1;;;Auxiliary;Compound;Pull;;https://exrx.net/WeightExercises/DeltoidPosterior/CBStandingCrossRow
